Date,Desktop,Mobile,Tablet
2024-01-01,195,90,47
2024-01-02,200,92,50
2024-01-03,198,95,48
2024-01-04,202,97,51
2024-01-05,197,100,46
2024-01-06,203,102,49
2024-01-07,199,105,54
2024-01-08,201,108,50
2024-01-09,205,110,52
2024-01-10,196,113,48
2024-01-11,202,115,53
2024-01-12,200,118,50
2024-01-13,204,120,55
2024-01-14,198,123,49
2024-01-15,201,125,51
2024-01-16,199,128,46
2024-01-17,203,130,49
2024-01-18,200,133,47
2024-01-19,204,135,52
2024-01-20,199,138,50
2024-01-21,205,140,53
2024-01-22,201,143,51
2024-01-23,203,145,49
2024-01-24,202,148,50
2024-01-25,197,150,54
2024-01-26,203,153,48
2024-01-27,200,155,52
2024-01-28,204,158,49
2024-01-29,198,160,46
2024-01-30,201,162,51
